share_2,n0,n1,n2,p0,p2,lift,null,direction,fisher,trend
0.05,68,32,5,0.05,0.05,1.0,True,0.2371,0.0132,0.0602
0.05,68,32,5,0.05,0.075,1.5,False,0.3207,0.0286,0.1066
0.05,68,32,5,0.05,0.1,2.0,False,0.4077,0.0488,0.1716
0.05,68,32,5,0.05,0.15,3.0,False,0.5544,0.1009,0.327
0.05,68,32,5,0.05,0.2,4.0,False,0.6687,0.171,0.4894
0.05,68,32,5,0.1,0.1,1.0,True,0.4078,0.0148,0.0646
0.05,68,32,5,0.1,0.15,1.5,False,0.5501,0.0369,0.1501
0.05,68,32,5,0.1,0.2,2.0,False,0.6681,0.0712,0.2676
0.05,68,32,5,0.1,0.3,3.0,False,0.8324,0.1812,0.5494
0.05,68,32,5,0.1,0.4,4.0,False,0.9179,0.3345,0.7764
0.05,68,32,5,0.2,0.2,1.0,True,0.4637,0.0204,0.0572
0.05,68,32,5,0.2,0.3,1.5,False,0.6526,0.0657,0.1923
0.05,68,32,5,0.2,0.4,2.0,False,0.7925,0.1442,0.4019
0.05,68,32,5,0.2,0.6,3.0,False,0.9493,0.4301,0.83
0.05,68,32,5,0.2,0.8,4.0,False,0.9962,0.7894,0.9875
0.1,63,32,10,0.05,0.05,1.0,True,0.39,0.0228,0.0617
0.1,63,32,10,0.05,0.075,1.5,False,0.5252,0.0521,0.1261
0.1,63,32,10,0.05,0.1,2.0,False,0.6383,0.0921,0.2044
0.1,63,32,10,0.05,0.15,3.0,False,0.7871,0.2029,0.3827
0.1,63,32,10,0.05,0.2,4.0,False,0.8825,0.3305,0.5635
0.1,63,32,10,0.1,0.1,1.0,True,0.4743,0.0239,0.0607
0.1,63,32,10,0.1,0.15,1.5,False,0.6502,0.0695,0.154
0.1,63,32,10,0.1,0.2,2.0,False,0.77,0.1428,0.287
0.1,63,32,10,0.1,0.3,3.0,False,0.9129,0.3571,0.6028
0.1,63,32,10,0.1,0.4,4.0,False,0.9746,0.5914,0.8358
0.1,63,32,10,0.2,0.2,1.0,True,0.4687,0.0233,0.0551
0.1,63,32,10,0.2,0.3,1.5,False,0.7261,0.1056,0.2152
0.1,63,32,10,0.2,0.4,2.0,False,0.8868,0.2701,0.4738
0.1,63,32,10,0.2,0.6,3.0,False,0.9919,0.7247,0.9053
0.1,63,32,10,0.2,0.8,4.0,False,1.0,0.9752,0.9979
0.2,52,32,21,0.05,0.05,1.0,True,0.4547,0.0104,0.0487
0.2,52,32,21,0.05,0.075,1.5,False,0.6091,0.0358,0.1062
0.2,52,32,21,0.05,0.1,2.0,False,0.7316,0.0828,0.1862
0.2,52,32,21,0.05,0.15,3.0,False,0.8802,0.2292,0.3965
0.2,52,32,21,0.05,0.2,4.0,False,0.9525,0.4315,0.6176
0.2,52,32,21,0.1,0.1,1.0,True,0.454,0.0214,0.0528
0.2,52,32,21,0.1,0.15,1.5,False,0.6805,0.0886,0.1613
0.2,52,32,21,0.1,0.2,2.0,False,0.842,0.2105,0.3199
0.2,52,32,21,0.1,0.3,3.0,False,0.9697,0.5482,0.676
0.2,52,32,21,0.1,0.4,4.0,False,0.9966,0.819,0.9049
0.2,52,32,21,0.2,0.2,1.0,True,0.4758,0.0257,0.0515
0.2,52,32,21,0.2,0.3,1.5,False,0.797,0.154,0.2461
0.2,52,32,21,0.2,0.4,2.0,False,0.9497,0.4183,0.5621
0.2,52,32,21,0.2,0.6,3.0,False,0.9993,0.9181,0.9657
0.2,52,32,21,0.2,0.8,4.0,False,1.0,0.9994,1.0
0.33,38,32,35,0.05,0.05,1.0,True,0.5564,0.0155,0.0504
0.33,38,32,35,0.05,0.075,1.5,False,0.7165,0.0537,0.1155
0.33,38,32,35,0.05,0.1,2.0,False,0.8308,0.1086,0.2019
0.33,38,32,35,0.05,0.15,3.0,False,0.9431,0.2869,0.4284
0.33,38,32,35,0.05,0.2,4.0,False,0.9839,0.51,0.6401
0.33,38,32,35,0.1,0.1,1.0,True,0.5334,0.0226,0.0518
0.33,38,32,35,0.1,0.15,1.5,False,0.7563,0.0924,0.1611
0.33,38,32,35,0.1,0.2,2.0,False,0.8945,0.2246,0.3292
0.33,38,32,35,0.1,0.3,3.0,False,0.986,0.6072,0.7063
0.33,38,32,35,0.1,0.4,4.0,False,0.9991,0.8809,0.9221
0.33,38,32,35,0.2,0.2,1.0,True,0.4978,0.0294,0.0539
0.33,38,32,35,0.2,0.3,1.5,False,0.8271,0.1775,0.2479
0.33,38,32,35,0.2,0.4,2.0,False,0.9641,0.4949,0.5943
0.33,38,32,35,0.2,0.6,3.0,False,0.9999,0.9648,0.9803
0.33,38,32,35,0.2,0.8,4.0,False,1.0,1.0,1.0
