board 105, 20000 trials per cell, alpha 0.05, seed 20260910
wrote power.csv, 60 cells

under the null (lift 1.0), how often each rule fires:
  n2     p0  direction   fisher    trend
   5   0.05      0.237    0.013    0.060
   5    0.1      0.408    0.015    0.065
   5    0.2      0.464    0.020    0.057
  10   0.05      0.390    0.023    0.062
  10    0.1      0.474    0.024    0.061
  10    0.2      0.469    0.023    0.055
  21   0.05      0.455    0.010    0.049
  21    0.1      0.454    0.021    0.053
  21    0.2      0.476    0.026    0.051
  35   0.05      0.556    0.015    0.050
  35    0.1      0.533    0.023    0.052
  35    0.2      0.498    0.029    0.054

power at p0 = 0.10, by share of 2s and lift:
  n2  lift     p2  direction   fisher    trend
   5   1.5   0.15      0.550    0.037    0.150
   5   2.0    0.2      0.668    0.071    0.268
   5   3.0    0.3      0.832    0.181    0.549
   5   4.0    0.4      0.918    0.335    0.776
  10   1.5   0.15      0.650    0.070    0.154
  10   2.0    0.2      0.770    0.143    0.287
  10   3.0    0.3      0.913    0.357    0.603
  10   4.0    0.4      0.975    0.591    0.836
  21   1.5   0.15      0.680    0.089    0.161
  21   2.0    0.2      0.842    0.210    0.320
  21   3.0    0.3      0.970    0.548    0.676
  21   4.0    0.4      0.997    0.819    0.905
  35   1.5   0.15      0.756    0.092    0.161
  35   2.0    0.2      0.894    0.225    0.329
  35   3.0    0.3      0.986    0.607    0.706
  35   4.0    0.4      0.999    0.881    0.922
