sz1-control cases-nodestats-dev.run1: {'server_any': 6, 'server_cw': 0, 'e2e_any': 4}
sz1-control cases-nodestats-dev.run2: {'server_any': 6, 'server_cw': 0, 'e2e_any': 4}
sz1-1a cases-nodestats-dev.run1: {'server_any': 5, 'server_cw': 1, 'e2e_any': 3}
sz1-1a cases-nodestats-dev.run2: {'server_any': 6, 'server_cw': 0, 'e2e_any': 4}
sz1-1b cases-nodestats-dev.run1: {'server_any': 7, 'server_cw': 0, 'e2e_any': 5}
sz1-1b cases-nodestats-dev.run2: {'server_any': 7, 'server_cw': 0, 'e2e_any': 6}
sz1-1c cases-nodestats-dev.run1: {'server_any': 5, 'server_cw': 0, 'e2e_any': 4}
sz1-1c cases-nodestats-dev.run2: {'server_any': 6, 'server_cw': 0, 'e2e_any': 4}
sz1-control cases-nodestats-holdout.run1: {'server_any': 4, 'server_cw': 0, 'e2e_any': 4}
sz1-control cases-nodestats-holdout.run2: {'server_any': 4, 'server_cw': 0, 'e2e_any': 4}
sz1-1a cases-nodestats-holdout.run1: {'server_any': 2, 'server_cw': 0, 'e2e_any': 2}
sz1-1a cases-nodestats-holdout.run2: {'server_any': 3, 'server_cw': 0, 'e2e_any': 3}
sz1-1b cases-nodestats-holdout.run1: {'server_any': 3, 'server_cw': 0, 'e2e_any': 3}
sz1-1b cases-nodestats-holdout.run2: {'server_any': 3, 'server_cw': 0, 'e2e_any': 3}
sz1-1c cases-nodestats-holdout.run1: {'server_any': 3, 'server_cw': 0, 'e2e_any': 3}
sz1-1c cases-nodestats-holdout.run2: {'server_any': 3, 'server_cw': 0, 'e2e_any': 3}
sz1-control cases-signoz-dev.run1: {'server_any': 3, 'server_cw': 0, 'e2e_any': 2}
sz1-control cases-signoz-dev.run2: {'server_any': 3, 'server_cw': 0, 'e2e_any': 2}
sz1-1a cases-signoz-dev.run1: {'server_any': 9, 'server_cw': 0, 'e2e_any': 9}
sz1-1a cases-signoz-dev.run2: {'server_any': 9, 'server_cw': 0, 'e2e_any': 8}
sz1-1b cases-signoz-dev.run1: {'server_any': 9, 'server_cw': 0, 'e2e_any': 9}
sz1-1b cases-signoz-dev.run2: {'server_any': 9, 'server_cw': 0, 'e2e_any': 9}
sz1-1c cases-signoz-dev.run1: {'server_any': 9, 'server_cw': 0, 'e2e_any': 9}
sz1-1c cases-signoz-dev.run2: {'server_any': 9, 'server_cw': 0, 'e2e_any': 8}
sz1-control cases-signoz-holdout.run1: {'server_any': 2, 'server_cw': 0, 'e2e_any': 1}
sz1-control cases-signoz-holdout.run2: {'server_any': 2, 'server_cw': 0, 'e2e_any': 1}
sz1-1a cases-signoz-holdout.run1: {'server_any': 4, 'server_cw': 0, 'e2e_any': 3}
sz1-1a cases-signoz-holdout.run2: {'server_any': 4, 'server_cw': 0, 'e2e_any': 3}
sz1-1b cases-signoz-holdout.run1: {'server_any': 5, 'server_cw': 0, 'e2e_any': 3}
sz1-1b cases-signoz-holdout.run2: {'server_any': 5, 'server_cw': 0, 'e2e_any': 3}
sz1-1c cases-signoz-holdout.run1: {'server_any': 6, 'server_cw': 0, 'e2e_any': 3}
sz1-1c cases-signoz-holdout.run2: {'server_any': 6, 'server_cw': 0, 'e2e_any': 3}
