rank,case,entity,test_type,pair_id,divergence
1,science-fit-gamedev,science,role-fit,,0.8682
2,gamedev-fit-frontend,gamedev,role-fit,,0.8535
3,frontend-fit-gamedev,frontend,role-fit,,0.8475
4,science-per-empirical,science,personality,,0.8382
5,science-fit-within,science,role-fit,,0.829
6,frontend-sev-in,frontend,boundary,frontend-sev,0.8289
7,sysadmin-sec-in,sysadmin,boundary,sysadmin-sec,0.8285
8,advocate-sec-in,advocate,boundary,advocate-sec,0.825
9,gamedev-sev-out,gamedev,boundary,gamedev-sev,0.8214
10,frontend-fit-advocate,frontend,role-fit,,0.8194
11,director-per-outward,director,personality,,0.8157
12,platform-sev-in,platform,boundary,platform-sev,0.8143
13,science-sev-out,science,boundary,science-sev,0.8143
14,platform-sev-out,platform,boundary,platform-sev,0.8052
15,advocate-per-warm,advocate,personality,,0.8047
16,science-bfs-out,science,boundary,science-bfs,0.8037
17,platform-mlb-in,platform,boundary,platform-mlb,0.8024
18,gamedev-per-imaginative,gamedev,personality,,0.7993
19,frontend-voi-tell,frontend,voice,,0.7991
20,frontend-fit-within,frontend,role-fit,,0.7985
21,platform-fit-science,platform,role-fit,,0.7978
22,gamedev-bfs-in,gamedev,boundary,gamedev-bfs,0.7952
23,science-sec-in,science,boundary,science-sec,0.7946
24,frontend-per-imaginative,frontend,personality,,0.7907
25,director-fit-advocate,director,role-fit,,0.7906
26,platform-bfs-out,platform,boundary,platform-bfs,0.7886
27,platform-mlb-out,platform,boundary,platform-mlb,0.786
28,platform-fit-within,platform,role-fit,,0.7843
29,platform-bfs-in,platform,boundary,platform-bfs,0.7822
30,gamedev-fit-within,gamedev,role-fit,,0.7794
31,advocate-bfs-in,advocate,boundary,advocate-bfs,0.7788
32,advocate-fit-director,advocate,role-fit,,0.7736
33,sysadmin-fit-platform,sysadmin,role-fit,,0.7734
34,frontend-per-playful,frontend,personality,,0.7715
35,science-mlb-in,science,boundary,science-mlb,0.7701
36,director-voi-tell,director,voice,,0.7693
37,sysadmin-per-protective,sysadmin,personality,,0.7686
38,frontend-bfs-in,frontend,boundary,frontend-bfs,0.7661
39,advocate-bfs-out,advocate,boundary,advocate-bfs,0.7639
40,science-voi-diction,science,voice,,0.7634
41,science-sev-in,science,boundary,science-sev,0.7619
42,advocate-fit-within,advocate,role-fit,,0.7615
43,sysadmin-sev-in,sysadmin,boundary,sysadmin-sev,0.7591
44,science-fit-platform,science,role-fit,,0.7589
45,frontend-sev-out,frontend,boundary,frontend-sev,0.7586
46,frontend-sec-in,frontend,boundary,frontend-sec,0.7578
47,science-mlb-out,science,boundary,science-mlb,0.756
48,sysadmin-fit-within,sysadmin,role-fit,,0.7555
49,gamedev-fit-sysadmin,gamedev,role-fit,,0.7552
50,advocate-sev-in,advocate,boundary,advocate-sev,0.7545
51,sysadmin-sec-out,sysadmin,boundary,sysadmin-sec,0.7505
52,advocate-mlb-in,advocate,boundary,advocate-mlb,0.7496
53,science-sec-out,science,boundary,science-sec,0.745
54,gamedev-mlb-in,gamedev,boundary,gamedev-mlb,0.7449
55,frontend-mlb-out,frontend,boundary,frontend-mlb,0.7444
56,advocate-fit-frontend,advocate,role-fit,,0.7433
57,platform-voi-diction,platform,voice,,0.7417
58,advocate-sec-out,advocate,boundary,advocate-sec,0.7413
59,science-bfs-in,science,boundary,science-bfs,0.7406
60,director-fit-within,director,role-fit,,0.7377
61,advocate-per-outward,advocate,personality,,0.7368
62,director-bfs-in,director,boundary,director-bfs,0.7347
63,platform-per-tenacious,platform,personality,,0.7335
64,platform-sec-out,platform,boundary,platform-sec,0.7315
65,sysadmin-bfs-in,sysadmin,boundary,sysadmin-bfs,0.7244
66,science-voi-tell,science,voice,,0.724
67,gamedev-bfs-out,gamedev,boundary,gamedev-bfs,0.7218
68,director-mlb-out,director,boundary,director-mlb,0.7215
69,platform-sec-in,platform,boundary,platform-sec,0.72
70,frontend-mlb-in,frontend,boundary,frontend-mlb,0.7162
71,gamedev-sev-in,gamedev,boundary,gamedev-sev,0.7152
72,director-sev-in,director,boundary,director-sev,0.7151
73,advocate-voi-diction,advocate,voice,,0.7134
74,director-mlb-in,director,boundary,director-mlb,0.7133
75,platform-per-grounded,platform,personality,,0.7125
76,director-sec-out,director,boundary,director-sec,0.7071
77,frontend-bfs-out,frontend,boundary,frontend-bfs,0.7067
78,platform-voi-tell,platform,voice,,0.7066
79,sysadmin-sev-out,sysadmin,boundary,sysadmin-sev,0.7066
80,sysadmin-fit-director,sysadmin,role-fit,,0.7049
81,gamedev-per-immersed,gamedev,personality,,0.6973
82,science-per-grounded,science,personality,,0.697
83,director-per-decisive,director,personality,,0.6968
84,frontend-voi-diction,frontend,voice,,0.6916
85,gamedev-mlb-out,gamedev,boundary,gamedev-mlb,0.6903
86,advocate-mlb-out,advocate,boundary,advocate-mlb,0.6877
87,sysadmin-mlb-out,sysadmin,boundary,sysadmin-mlb,0.6869
88,sysadmin-voi-tell,sysadmin,voice,,0.6838
89,advocate-sev-out,advocate,boundary,advocate-sev,0.6767
90,advocate-voi-tell,advocate,voice,,0.6735
91,sysadmin-bfs-out,sysadmin,boundary,sysadmin-bfs,0.6638
92,gamedev-sec-out,gamedev,boundary,gamedev-sec,0.6576
93,director-sec-in,director,boundary,director-sec,0.6561
94,director-sev-out,director,boundary,director-sev,0.6521
95,director-fit-science,director,role-fit,,0.6519
96,sysadmin-per-grounded,sysadmin,personality,,0.6493
97,director-bfs-out,director,boundary,director-bfs,0.6431
98,sysadmin-voi-diction,sysadmin,voice,,0.6394
99,gamedev-voi-diction,gamedev,voice,,0.6373
100,frontend-sec-out,frontend,boundary,frontend-sec,0.6255
101,gamedev-sec-in,gamedev,boundary,gamedev-sec,0.6208
102,sysadmin-mlb-in,sysadmin,boundary,sysadmin-mlb,0.6132
103,director-voi-diction,director,voice,,0.6031
104,platform-fit-sysadmin,platform,role-fit,,0.5892
105,gamedev-voi-tell,gamedev,voice,,0.5313
