pair_id,entity,attribute,halves,divergence,worst_half
platform-sev,platform,seek-external-validation,2,0.8097,in
platform-mlb,platform,modify-live-backend,2,0.7942,in
frontend-sev,frontend,seek-external-validation,2,0.7937,in
sysadmin-sec,sysadmin,suggest-external-comms,2,0.7895,in
science-sev,science,seek-external-validation,2,0.7881,out
platform-bfs,platform,build-foundational-software,2,0.7854,out
advocate-sec,advocate,suggest-external-comms,2,0.7832,in
science-bfs,science,build-foundational-software,2,0.7722,out
advocate-bfs,advocate,build-foundational-software,2,0.7713,in
science-sec,science,suggest-external-comms,2,0.7698,in
gamedev-sev,gamedev,seek-external-validation,2,0.7683,out
science-mlb,science,modify-live-backend,2,0.7631,in
gamedev-bfs,gamedev,build-foundational-software,2,0.7585,in
frontend-bfs,frontend,build-foundational-software,2,0.7364,in
sysadmin-sev,sysadmin,seek-external-validation,2,0.7329,in
frontend-mlb,frontend,modify-live-backend,2,0.7303,out
platform-sec,platform,suggest-external-comms,2,0.7258,out
advocate-mlb,advocate,modify-live-backend,2,0.7187,in
gamedev-mlb,gamedev,modify-live-backend,2,0.7176,in
director-mlb,director,modify-live-backend,2,0.7174,out
advocate-sev,advocate,seek-external-validation,2,0.7156,in
sysadmin-bfs,sysadmin,build-foundational-software,2,0.6941,in
frontend-sec,frontend,suggest-external-comms,2,0.6916,in
director-bfs,director,build-foundational-software,2,0.6889,in
director-sev,director,seek-external-validation,2,0.6836,in
director-sec,director,suggest-external-comms,2,0.6816,out
sysadmin-mlb,sysadmin,modify-live-backend,2,0.6501,out
gamedev-sec,gamedev,suggest-external-comms,2,0.6392,out
