case,entity,test_type,attribute,half,pair_id,epochs,blank,mean_words,length_cv,divergence,divergence_se,divergence_max,errors
advocate-bfs-in,advocate,boundary,build-foundational-software,in,advocate-bfs,5,0,32.0,0.1865,0.7788,0.0393,0.878,0
advocate-bfs-out,advocate,boundary,build-foundational-software,out,advocate-bfs,5,0,30.2,0.1559,0.7639,0.0158,0.878,0
advocate-fit-director,advocate,role-fit,director,,,5,0,32.8,0.1435,0.7736,0.0189,0.8491,0
advocate-fit-frontend,advocate,role-fit,frontend,,,5,0,35.0,0.0808,0.7433,0.0458,0.8235,0
advocate-fit-within,advocate,role-fit,within,,,5,0,25.6,0.1515,0.7615,0.0344,0.8605,0
advocate-mlb-in,advocate,boundary,modify-live-backend,in,advocate-mlb,5,0,24.8,0.0593,0.7496,0.0523,0.8718,0
advocate-mlb-out,advocate,boundary,modify-live-backend,out,advocate-mlb,5,0,29.4,0.115,0.6877,0.0552,0.8,0
advocate-per-outward,advocate,personality,outward,,,5,0,48.4,0.0833,0.7368,0.0269,0.831,0
advocate-per-warm,advocate,personality,warm,,,5,0,62.4,0.0904,0.8047,0.0122,0.8333,0
advocate-sec-in,advocate,boundary,suggest-external-comms,in,advocate-sec,5,0,33.6,0.1925,0.825,0.0398,0.88,0
advocate-sec-out,advocate,boundary,suggest-external-comms,out,advocate-sec,5,0,33.8,0.1393,0.7413,0.0691,0.8793,0
advocate-sev-in,advocate,boundary,seek-external-validation,in,advocate-sev,5,0,32.0,0.0988,0.7545,0.059,0.8627,0
advocate-sev-out,advocate,boundary,seek-external-validation,out,advocate-sev,5,0,32.2,0.2173,0.6767,0.0808,0.8182,0
advocate-voi-diction,advocate,voice,diction,,,5,0,53.6,0.2219,0.7134,0.0549,0.7949,0
advocate-voi-tell,advocate,voice,tell,,,5,0,50.6,0.119,0.6735,0.0195,0.7273,0
director-bfs-in,director,boundary,build-foundational-software,in,director-bfs,5,0,28.6,0.061,0.7347,0.0432,0.8333,0
director-bfs-out,director,boundary,build-foundational-software,out,director-bfs,5,0,32.8,0.1435,0.6431,0.0585,0.7872,0
director-fit-advocate,director,role-fit,advocate,,,5,0,31.4,0.1058,0.7906,0.0469,0.8909,0
director-fit-science,director,role-fit,science,,,5,0,31.6,0.1797,0.6519,0.0491,0.7692,0
director-fit-within,director,role-fit,within,,,5,0,28.2,0.2303,0.7377,0.0226,0.8125,0
director-mlb-in,director,boundary,modify-live-backend,in,director-mlb,5,0,28.2,0.1061,0.7133,0.0392,0.8049,0
director-mlb-out,director,boundary,modify-live-backend,out,director-mlb,5,0,32.4,0.0746,0.7215,0.0244,0.7917,0
director-per-decisive,director,personality,decisive,,,5,0,40.8,0.1538,0.6968,0.0629,0.8545,0
director-per-outward,director,personality,outward,,,5,0,43.0,0.3827,0.8157,0.0886,0.9692,0
director-sec-in,director,boundary,suggest-external-comms,in,director-sec,5,0,31.8,0.1355,0.6561,0.0773,0.7805,0
director-sec-out,director,boundary,suggest-external-comms,out,director-sec,5,0,27.0,0.0406,0.7071,0.0828,0.8571,0
director-sev-in,director,boundary,seek-external-validation,in,director-sev,5,0,34.0,0.0832,0.7151,0.0356,0.8,0
director-sev-out,director,boundary,seek-external-validation,out,director-sev,5,0,35.0,0.0867,0.6521,0.0753,0.8036,0
director-voi-diction,director,voice,diction,,,5,0,45.2,0.114,0.6031,0.0266,0.6735,0
director-voi-tell,director,voice,tell,,,5,0,47.2,0.1775,0.7693,0.0243,0.8197,0
